                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.81228,                 0.3852,                0.78232,                 0.8952,                0.74455,                0.81637,                0.56062,                  0.769,                0.39309,                0.78788,             0.00068075,             0.00068075,             0.00068075
                     48,                0.82596,                0.39226,                0.78681,                0.88447,                0.74982,                0.79208,                0.54857,                0.81049,                0.39438,                0.78915,             0.00066838,             0.00066838,             0.00066838
                     49,                0.81415,                0.38819,                0.78422,                0.90756,                0.76333,                0.81614,                0.55218,                0.80114,                0.40111,                0.79046,               0.000656,               0.000656,               0.000656
                     50,                0.81526,                0.38584,                0.78322,                0.90975,                0.73606,                0.82694,                0.56693,                0.80297,                0.37802,                0.78887,             0.00064362,             0.00064362,             0.00064362
                     51,                0.77857,                0.37538,                0.78449,                0.88827,                0.75458,                0.81514,                0.56397,                0.79392,                0.39698,                0.78894,             0.00063125,             0.00063125,             0.00063125
                     52,                0.78366,                0.36872,                0.78062,                0.91715,                0.77482,                0.83496,                0.58342,                0.79197,                0.38116,                0.78683,             0.00061887,             0.00061887,             0.00061887
                     53,                0.77217,                0.36672,                0.78166,                0.88143,                0.76709,                0.81093,                0.55366,                0.79487,                0.39365,                0.78712,              0.0006065,              0.0006065,              0.0006065
                     54,                0.75801,                0.36017,                0.78338,                 0.8953,                0.76381,                0.82235,                0.59147,                0.75013,                0.37951,                0.78603,             0.00059413,             0.00059413,             0.00059413
                     55,                0.79002,                0.37448,                0.78359,                0.96739,                0.71867,                 0.8398,                0.58547,                0.76202,                0.39274,                0.78723,             0.00058175,             0.00058175,             0.00058175
                     56,                0.79821,                0.37092,                0.78431,                0.87092,                0.75108,                0.83223,                0.57795,                0.79376,                0.37938,                0.78609,             0.00056938,             0.00056938,             0.00056938
                     57,                0.77672,                 0.3637,                0.78338,                0.90107,                0.73462,                0.81825,                0.59071,                0.74535,                0.37939,                0.78545,               0.000557,               0.000557,               0.000557
                     58,                0.76701,                 0.3603,                0.78329,                0.93872,                0.75646,                0.83499,                0.58567,                0.77193,                0.38407,                0.78711,             0.00054463,             0.00054463,             0.00054463
                     59,                0.78161,                0.36812,                0.78257,                0.87373,                0.74846,                0.82109,                0.57694,                0.80868,                0.42341,                0.79188,             0.00053225,             0.00053225,             0.00053225
                     60,                0.77382,                0.36259,                0.78261,                0.91632,                 0.7412,                0.81432,                0.58539,                0.76804,                0.37565,                0.78909,             0.00051988,             0.00051988,             0.00051988
                     61,                0.77428,                0.36496,                0.78297,                0.93619,                0.77105,                0.83316,                0.59938,                0.75227,                0.38225,                0.78618,              0.0005075,              0.0005075,              0.0005075
                     62,                  0.746,                0.35047,                 0.7811,                0.96412,                0.73805,                0.82676,                0.58364,                0.77684,                0.37682,                0.78692,             0.00049513,             0.00049513,             0.00049513
                     63,                0.75853,                0.35798,                0.78247,                0.92997,                0.76486,                 0.8286,                0.58394,                0.75455,                0.36975,                0.78599,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.7665,                0.35713,                0.78058,                 0.8847,                0.76782,                0.82946,                0.59035,                 0.7516,                0.37973,                0.78538,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71884,                0.34308,                0.78167,                0.94115,                 0.7311,                0.82848,                0.58961,                0.74128,                0.37243,                0.78619,               0.000458,               0.000458,               0.000458
                     66,                0.76151,                0.35652,                0.78188,                0.88679,                0.77588,                0.83041,                0.57962,                0.76224,                0.37709,                0.78633,             0.00044563,             0.00044563,             0.00044563
                     67,                0.75121,                0.35006,                0.78018,                0.92528,                0.76028,                0.82562,                0.57756,                0.75749,                0.37707,                  0.785,             0.00043325,             0.00043325,             0.00043325
                     68,                0.71451,                   0.34,                0.78186,                  0.909,                0.74789,                0.81822,                0.59327,                0.73955,                0.36217,                0.78512,             0.00042087,             0.00042087,             0.00042087
                     69,                0.73155,                0.34567,                0.78019,                0.97157,                0.69996,                 0.8203,                0.59122,                0.76169,                0.37368,                  0.786,              0.0004085,              0.0004085,              0.0004085
                     70,                0.75448,                0.35133,                0.78115,                0.96206,                0.73483,                0.85273,                0.58299,                0.77906,                0.38536,                0.78739,             0.00039613,             0.00039613,             0.00039613
                     71,                0.75368,                0.34925,                0.78014,                0.91756,                0.77916,                0.83453,                0.58973,                0.76334,                0.37613,                0.78452,             0.00038375,             0.00038375,             0.00038375
                     72,                0.73806,                0.34529,                0.78051,                0.95189,                0.74012,                0.82963,                0.58779,                0.74613,                0.37918,                0.78543,             0.00037138,             0.00037138,             0.00037138
                     73,                0.72415,                0.33736,                0.78049,                0.96573,                 0.7633,                0.82909,                0.59348,                0.74684,                0.36656,                0.78537,               0.000359,               0.000359,               0.000359
                     74,                0.69894,                0.32888,                0.77895,                0.89923,                0.74468,                0.82699,                 0.5913,                0.72966,                0.36875,                0.78614,             0.00034663,             0.00034663,             0.00034663
                     75,                0.68645,                0.32312,                0.77736,                 0.9307,                0.75142,                0.81297,                0.57583,                0.76059,                0.38739,                0.78645,             0.00033425,             0.00033425,             0.00033425
                     76,                0.69829,                0.32398,                0.77587,                0.91699,                0.73983,                0.81172,                0.59448,                0.72274,                0.36338,                0.78297,             0.00032188,             0.00032188,             0.00032188
                     77,                0.70624,                0.32965,                0.77834,                0.84215,                 0.7557,                0.82481,                0.59034,                0.74875,                0.37449,                0.78474,              0.0003095,              0.0003095,              0.0003095
                     78,                0.69176,                0.32284,                0.78014,                0.91314,                0.75302,                0.81918,                0.58793,                 0.7434,                0.36723,                0.78465,             0.00029713,             0.00029713,             0.00029713
                     79,                0.68989,                0.32675,                0.77747,                0.85318,                0.73155,                0.79818,                0.57499,                0.75225,                0.36617,                0.78456,             0.00028475,             0.00028475,             0.00028475
                     80,                0.69423,                0.32427,                0.77655,                0.93819,                  0.709,                0.80547,                0.57106,                0.74422,                0.37279,                0.78569,             0.00027237,             0.00027237,             0.00027237
                     81,                0.69969,                0.32462,                0.77675,                0.92868,                0.73085,                0.81142,                0.58656,                 0.7331,                0.36393,                0.78392,                0.00026,                0.00026,                0.00026
                     82,                0.67631,                0.31699,                0.77675,                0.87311,                 0.7367,                0.81497,                0.58283,                0.73863,                0.36935,                0.78462,             0.00024762,             0.00024762,             0.00024762
                     83,                0.69037,                0.32203,                0.77641,                0.91682,                0.73024,                 0.8237,                0.58256,                0.74158,                0.36139,                 0.7858,             0.00023525,             0.00023525,             0.00023525
                     84,                0.67626,                0.31525,                0.77742,                0.87169,                0.74129,                0.81793,                 0.5808,                0.74208,                0.36664,                0.78461,             0.00022288,             0.00022288,             0.00022288
                     85,                0.68249,                0.31804,                0.77781,                0.90266,                0.73863,                0.81271,                0.57604,                0.73758,                0.35929,                 0.7847,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.6641,                0.31263,                0.77592,                0.96028,                0.71421,                0.81819,                0.57911,                0.75408,                0.37015,                0.78477,             0.00019813,             0.00019813,             0.00019813
                     87,                0.67931,                0.31723,                0.77574,                0.96983,                0.72553,                0.81648,                0.57948,                0.73642,                0.36754,                0.78451,             0.00018575,             0.00018575,             0.00018575
                     88,                0.67697,                0.31326,                0.77464,                0.95275,                0.74329,                0.82667,                0.58863,                0.74435,                 0.3601,                0.78482,             0.00017338,             0.00017338,             0.00017338
